pred_norm,actual_norm,row_id,smiles,taxid,species_group,species_latin_name,endpoint,effect,fragment_count,has_metal,is_single_node,is_salt,conc_unit,fragment_bin,has_metal_group,is_single_group,pred_log10c,actual_log10c,residual_log10c,abs_error_log10c,pred_conc,actual_conc,fold_error
0.2594645,1.2615411,63500,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10116,rodents,rattus norvegicus,EC50,PHY,1.0,0.0,0.0,Not salt,mg/L,1,No metal,Not single-node,0.2594645,1.2615411,-1.0020766,1.0020766,1.8174585,18.261696,10.04793
1.853543,0.60206,10165,CCc1cccc(CC)c1N(COC)C(=O)CCl,10090,rodents,mus musculus,LOEC,BEH,1.0,0.0,0.0,Not salt,mg/kg,1,No metal,Not single-node,1.853543,0.60206,1.251483,1.251483,71.3745,4.0000005,17.843622
2.1015284,2.067071,41997,CNC(=O)Oc1ccccc1OC(C)C,10116,rodents,rattus norvegicus,EC50,MOR,1.0,0.0,0.0,Not salt,mg/kg bw,1,No metal,Not single-node,2.1015284,2.067071,0.034457445,0.034457445,126.33637,116.70003,1.0825737
2.0470378,2.39794,2803,CS(C)=O,8355,amphibians,xenopus laevis,NOEC,GRO,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,2.0470378,2.39794,-0.35090208,0.35090208,111.43916,249.99995,2.243376
1.8350997,2.4771214,19620,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,10090,rodents,Mus musculus,EC50,MOR,1.0,0.0,0.0,Not salt,mg/kg,1,No metal,Not single-node,1.8350997,2.4771214,-0.64202166,0.64202166,68.40686,300.00006,4.385526
1.9313627,3.0791812,69631,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,8839,birds,anas platyrhynchos,NOEC,GRO,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,1.9313627,3.0791812,-1.1478184,1.1478184,85.3813,1199.9998,14.054597
-0.13845447,-0.04335142,14383,CNC(=O)Oc1cccc2ccccc12,8030,fish,salmo salar,EC50,MOR,1.0,0.0,0.0,Not salt,mg/L,1,No metal,Not single-node,-0.13845447,-0.04335142,-0.09510305,0.09510305,0.7270186,0.90500003,1.24481
0.4632926,0.77488905,30327,Cl[Co]Cl,90988,fish,pimephales promelas,LOEC,POP,1.0,1.0,0.0,Not salt,mg/L,1,Has metal,Not single-node,0.4632926,0.77488905,-0.31159645,0.31159645,2.9059799,5.9551,2.0492573
0.5000232,1.39794,3678,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+],7957,fish,carassius auratus,EC50,MOR,3.0,1.0,0.0,Is salt,mg/L,3+,Has metal,Not single-node,0.5000232,1.39794,-0.89791685,0.89791685,3.1624465,25.000002,7.9052725
3.3402522,3.60206,72379,CCOCCO,10116,rodents,Rattus norvegicus,EC50,MOR,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,3.3402522,3.60206,-0.26180792,0.26180792,2189.0322,4000.0007,1.8272918
-1.7999535,-3.2218487,71448,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,28743,fish,cyprinodon variegatus,EC50,MOR,1.0,0.0,0.0,Not salt,mg/L,1,No metal,Not single-node,-1.7999535,-3.2218487,1.4218953,1.4218953,0.01585063,0.0006,26.417715
2.840344,3.8998206,64941,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,10116,rodents,Rattus norvegicus,EC50,MOR,1.0,0.0,0.0,Not salt,mg/kg bw,1,No metal,Not single-node,2.840344,3.8998206,-1.0594766,1.0594766,692.37915,7940.001,11.467707
1.7365189,1.30103,27308,CNC(=O)Oc1ccccc1OC(C)C,10090,rodents,mus musculus,NOEC,GRO,1.0,0.0,0.0,Not salt,mg/kg bw,1,No metal,Not single-node,1.7365189,1.30103,0.43548882,0.43548882,54.515358,20.000002,2.7257676
-0.54875916,-0.537602,7263,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,307507,algae,raphidocelis subcapitata,EC50,POP,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,-0.54875916,-0.537602,-0.011157155,0.011157155,0.2826447,0.29,1.0260231
0.080997705,0.30103,3662,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,9031,birds,gallus gallus,LOEC,GRO,1.0,0.0,0.0,Not salt,%,1,No metal,Not single-node,0.080997705,0.30103,-0.2200323,0.2200323,1.2050295,2.0,1.6597104
-0.87736976,3.0,19771,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,650622,algae,chlorococcum minutum,NOEC,POP,1.0,0.0,0.0,Not salt,mg/L,1,No metal,Not single-node,-0.87736976,3.0,-3.8773699,3.8773699,0.13262647,1000.0,7539.9727
-3.7533567,-4.075721,20448,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],124763,plants,amaranthus retroflexus,LOEC,POP,1.0,0.0,0.0,Not salt,kg/m2,1,No metal,Not single-node,-3.7533567,-4.075721,0.3223641,0.3223641,0.0001764588,8.3999985e-05,2.1007004
2.6859279,3.2552724,17465,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,10090,rodents,Mus musculus,EC50,MOR,1.0,0.0,0.0,Not salt,mg/kg bw,1,No metal,Not single-node,2.6859279,3.2552724,-0.5693445,0.5693445,485.20792,1799.9995,3.7097487
-1.6652396,-1.7447275,73220,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,185980,algae,fragilaria capucina ssp. rumpens,EC10,POP,1.0,0.0,0.0,Not salt,mg/L,1,No metal,Not single-node,-1.6652396,-1.7447275,0.07948792,0.07948792,0.021615257,0.018,1.2008477
0.3065783,0.7853298,11576,CNC(=O)Oc1ccccc1OC(C)C,13106,fish,lepomis macrochirus,EC50,MOR,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,0.3065783,0.7853298,-0.4787515,0.4787515,2.0257149,6.1,3.0112827
0.8244071,-0.6455074,58593,Cl[Co]Cl,307507,algae,raphidocelis subcapitata,EC10,GRO,1.0,1.0,0.0,Not salt,mg/L,1,Has metal,Not single-node,0.8244071,-0.6455074,1.4699144,1.4699144,6.674321,0.2262,29.506283
1.3358191,0.83569056,55184,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,84834,birds,molothrus ater,EC50,MOR,1.0,0.0,0.0,Not salt,mg/kg org,1,No metal,Not single-node,1.3358191,0.83569056,0.50012857,0.50012857,21.668016,6.85,3.1632142
2.4850771,3.0,52656,CC(Cl)CCl,10090,rodents,Mus musculus,LOEC,MOR,1.0,0.0,0.0,Not salt,ppm,1,No metal,Not single-node,2.4850771,3.0,-0.51492286,0.51492286,305.54636,1000.0,3.2728257
